,Country,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1,Albania,7.30,7.94,4.23,5.77,5.71,5.76,5.43,5.90,7.54,3.35,3.53,2.33,1.14,0.44,2.10
2,Algeria,3.80,3.00,5.60,7.20,4.30,5.90,1.68,3.37,2.36,1.63,3.62,2.83,3.30,2.81,3.84
3,Argentina,-0.79,-4.41,-10.89,8.96,8.91,9.20,8.36,8.00,3.10,0.05,9.14,8.56,0.95,2.94,-1.70
4,Armenia,5.85,9.47,14.81,14.05,10.47,14.11,13.20,13.75,6.95,-14.15,2.20,4.70,7.13,3.47,3.18
5,Australia,3.09,2.62,3.94,3.05,4.09,3.13,2.68,4.54,2.69,1.54,2.25,2.59,3.60,2.33,2.82
6,Austria,3.67,0.86,1.69,0.87,2.59,2.40,3.67,3.71,1.44,-3.82,1.77,2.83,0.87,0.27,1.01
7,Azerbaijan,6.23,6.49,8.14,10.48,10.20,26.40,34.50,25.00,10.80,9.30,4.96,0.09,2.16,5.80,4.47
8,Barbados,2.28,-2.55,0.69,1.97,1.43,4.01,5.70,1.66,0.35,-4.14,0.23,0.79,0.01,-0.30,-0.55
9,Belarus,5.73,4.72,5.04,6.97,11.44,9.41,9.98,8.69,10.29,0.14,7.74,5.54,1.73,0.90,0.94
10,Belgium,3.67,0.81,1.36,0.81,3.27,1.75,2.67,2.88,0.99,-2.80,2.34,1.75,-0.14,0.20,0.98
11,Belize,13.02,5.02,5.12,9.33,4.65,2.97,4.70,1.21,3.85,0.30,3.08,2.10,4.01,0.71,2.00
12,Bosnia and Herzegovina,4.44,2.36,5.05,3.86,6.26,3.87,5.69,5.98,5.59,-2.72,0.84,0.96,-1.21,2.10,0.70
13,Brazil,4.31,1.32,2.66,1.15,5.71,3.16,3.96,6.10,5.17,-0.33,7.53,2.73,1.03,2.49,0.30
14,Brunei Darussalam,2.85,2.75,3.87,2.90,0.50,0.39,4.40,0.15,-1.94,-1.77,2.60,3.43,0.95,-1.75,5.30
15,Bulgaria,5.39,4.15,4.65,5.51,6.75,6.36,6.51,6.45,6.19,-5.48,0.39,1.84,0.59,0.86,1.40
16,Cabo Verde,7.27,6.14,5.28,7.50,4.93,5.81,9.12,9.22,6.65,-1.27,1.47,3.97,1.20,0.52,1.02
17,Canada,5.12,1.69,2.80,1.93,3.14,3.16,2.62,2.01,1.18,-2.71,3.37,2.53,1.71,2.02,2.27
18,Chile,4.47,3.34,2.17,3.39,6.80,6.31,5.83,5.21,3.23,-1.02,5.74,5.76,5.45,4.17,2.00
19,"China,P.R.,: Mainland",8.40,8.30,9.10,10.01,10.10,11.30,12.68,14.20,9.64,9.21,10.41,9.30,7.65,7.70,7.38
20,Colombia,2.93,1.68,2.50,3.92,5.33,4.71,6.70,6.90,3.55,1.65,3.97,6.59,4.05,4.68,4.81
21,Costa Rica,1.80,1.08,2.90,6.41,4.26,5.89,8.78,7.94,2.73,-1.02,4.95,4.51,5.13,3.50,3.60
22,Croatia,4.18,3.66,4.88,5.37,4.13,4.28,4.94,5.06,2.08,-6.95,-2.27,-0.24,-2.19,-0.91,-0.82
23,Cyprus,5.02,4.03,2.13,1.87,4.23,3.86,4.13,5.09,3.59,-1.86,1.31,0.44,-2.41,-5.41,-3.22
24,Czech Republic,4.19,3.10,2.15,3.77,4.74,6.75,7.02,5.74,3.10,-4.51,2.47,1.82,-1.02,-0.93,2.49
25,Denmark,3.53,0.71,0.47,0.38,2.30,2.45,3.40,1.58,-0.78,-5.67,1.39,1.07,-0.36,0.42,1.54
26,Dominican Republic,5.65,1.79,5.78,-0.25,1.30,9.22,10.66,8.48,3.14,0.94,8.30,2.93,2.66,4.58,5.30
27,Ecuador,1.09,4.02,4.10,2.72,8.21,5.29,4.40,2.19,6.36,0.57,3.53,7.79,5.14,4.48,4.00
28,Egypt,5.38,3.52,3.19,3.19,4.09,4.47,6.84,7.09,7.16,4.67,5.15,1.78,2.22,2.10,2.20
29,El Salvador,2.15,1.71,2.34,2.30,1.85,3.56,3.91,3.84,1.27,-3.13,1.37,2.22,1.88,1.68,1.70
30,Estonia,9.97,6.16,6.12,7.48,6.48,9.47,10.41,7.90,-5.33,-14.74,2.48,8.28,4.65,1.63,1.23
31,Fiji,-1.78,1.97,3.15,1.00,5.46,2.50,1.86,-0.86,1.03,-1.39,2.96,2.71,1.83,4.64,3.85
32,Finland,5.64,2.58,1.68,1.99,3.93,2.78,4.06,5.19,0.72,-8.27,2.99,2.57,-1.46,-1.21,-0.19
